DRUG_ID,DRUG_NAME,CATEGORY,MECHANISM,INDICATION,DOSAGE_FORM,DEVELOPMENT_COST_USD
DRG_001,AlphaCure,Neurology,Monoclonal Antibody,Diabetes,Injection,136411714
DRG_002,BetaHeal,Cardiology,Monoclonal Antibody,Arthritis,Capsule,154328094
DRG_003,GammaTreat,Oncology,Monoclonal Antibody,Arthritis,Tablet,453212503
DRG_004,DeltaRx,Endocrinology,Gene Therapy,Arthritis,Tablet,206042963
DRG_005,EpsilonMed,Oncology,Protein,Cancer,Injection,439547765
DRG_006,ZetaTherapy,Endocrinology,Gene Therapy,Alzheimer's,Capsule,118834981
DRG_007,EtaCure,Cardiology,Small Molecule,Alzheimer's,Tablet,153883753
DRG_008,ThetaHeal,Neurology,Gene Therapy,Diabetes,Capsule,380896323
DRG_009,IotaRx,Neurology,Monoclonal Antibody,Arthritis,Capsule,483630509
DRG_010,KappaMed,Neurology,Gene Therapy,Heart Disease,Tablet,218155907
DRG_011,LambdaTreat,Cardiology,Monoclonal Antibody,Diabetes,Capsule,242997578
DRG_012,MuTherapy,Cardiology,Protein,Diabetes,IV Infusion,289099740
DRG_013,NuCure,Neurology,Protein,Diabetes,Tablet,144365887
DRG_014,XiHeal,Endocrinology,Small Molecule,Alzheimer's,Injection,339168356
DRG_015,OmicronRx,Cardiology,Protein,Cancer,Tablet,60002061
DRG_016,PiMed,Endocrinology,Small Molecule,Arthritis,IV Infusion,462961241
DRG_017,RhoTreat,Endocrinology,Monoclonal Antibody,Cancer,Capsule,341772871
DRG_018,SigmaTherapy,Endocrinology,Gene Therapy,Heart Disease,Capsule,260720946
DRG_019,TauCure,Cardiology,Protein,Heart Disease,IV Infusion,319038455
DRG_020,UpsilonHeal,Endocrinology,Small Molecule,Diabetes,Capsule,319599002
